,high_density,low_density,random_sample
high_density,1.5055798444785087e-05,-0.0006207928392181491,-0.0006969573831659423
low_density,0.000457164260242256,4.056290510155507e-05,-0.00016611678150751672
random_sample,0.000553139587949036,6.15837167411363e-05,2.667867198499475e-05
