,high_density,low_density,random_sample
high_density,0.0,3.1392500207584e-05,2.162776362528906e-05
low_density,-3.1392500207584e-05,0.0,-9.764736582294938e-06
random_sample,-2.162776362528906e-05,9.764736582294938e-06,0.0
