,high_density,low_density,random_sample
high_density,0.0,-1.5887817258559349e-06,-6.028935573066058e-06
low_density,1.5887817258559349e-06,0.0,-4.440153847210123e-06
random_sample,6.028935573066058e-06,4.440153847210123e-06,0.0
