,high_density,low_density,random_sample
high_density,0.0,-5.816964283833015e-05,-1.989265380155183e-05
low_density,5.816964283833015e-05,0.0,3.827698903677832e-05
random_sample,1.989265380155183e-05,-3.827698903677832e-05,0.0
